Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
53,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,0,0.969,0.031,0.000,0.000,0.000,0.000,0
54,1,0.028,0.954,0.018,0.000,0.000,0.000,0
54,2,0.001,0.064,0.927,0.008,0.000,0.000,0
54,3,0.000,0.006,0.083,0.911,0.000,0.000,0
54,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,0,0.978,0.022,0.000,0.000,0.000,0.000,0
55,1,0.018,0.973,0.009,0.000,0.000,0.000,0
55,2,0.000,0.036,0.961,0.003,0.000,0.000,0
55,3,0.000,0.000,0.081,0.919,0.000,0.000,0
55,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,0,0.881,0.113,0.006,0.000,0.000,0.000,0
56,1,0.082,0.848,0.069,0.000,0.000,0.000,0
56,2,0.008,0.153,0.811,0.027,0.000,0.000,0
56,3,0.000,0.031,0.247,0.722,0.000,0.000,0
56,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,0,0.969,0.031,0.000,0.000,0.000,0.000,0
57,1,0.025,0.955,0.020,0.000,0.000,0.000,0
57,2,0.000,0.059,0.931,0.010,0.000,0.000,0
57,3,0.000,0.000,0.054,0.946,0.000,0.000,0
57,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,0,0.981,0.019,0.000,0.000,0.000,0.000,0
58,1,0.024,0.964,0.012,0.000,0.000,0.000,0
58,2,0.001,0.055,0.940,0.005,0.000,0.000,0
58,3,0.000,0.007,0.027,0.967,0.000,0.000,0
58,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,0,0.886,0.111,0.003,0.000,0.000,0.000,0
59,1,0.082,0.857,0.060,0.001,0.000,0.000,0
59,2,0.007,0.134,0.829,0.030,0.000,0.000,0
59,3,0.000,0.027,0.193,0.780,0.000,0.000,0
59,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,0,0.984,0.016,0.000,0.000,0.000,0.000,0
60,1,0.027,0.966,0.007,0.000,0.000,0.000,0
60,2,0.001,0.046,0.951,0.002,0.000,0.000,0
60,3,0.000,0.007,0.073,0.920,0.000,0.000,0
60,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,0,0.969,0.031,0.000,0.000,0.000,0.000,0
61,1,0.022,0.963,0.016,0.000,0.000,0.000,0
61,2,0.001,0.045,0.946,0.008,0.000,0.000,0
61,3,0.000,0.000,0.050,0.950,0.000,0.000,0
61,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,0,0.946,0.054,0.000,0.000,0.000,0.000,0
62,1,0.041,0.921,0.038,0.000,0.000,0.000,0
62,2,0.002,0.087,0.890,0.021,0.000,0.000,0
62,3,0.000,0.000,0.170,0.830,0.000,0.000,0
62,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,0,0.963,0.035,0.002,0.000,0.000,0.000,0
