Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
45,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,0,1.000,0.000,0.000,0.000,0.000,0.000,0
46,1,0.007,0.993,0.000,0.000,0.000,0.000,0
46,2,0.000,0.021,0.979,0.000,0.000,0.000,0
46,3,0.000,0.000,0.028,0.972,0.000,0.000,0
46,4,0.000,0.000,0.004,0.042,0.954,0.000,0
46,5,0.000,0.000,0.000,0.000,0.000,1.000,0
46,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,0,0.295,0.383,0.249,0.063,0.010,0.000,0
47,1,0.005,0.331,0.426,0.186,0.049,0.002,0
47,2,0.000,0.014,0.441,0.419,0.111,0.015,0
47,3,0.000,0.000,0.024,0.570,0.347,0.059,0
47,4,0.000,0.000,0.000,0.027,0.708,0.265,0
47,5,0.000,0.000,0.000,0.000,0.048,0.952,0
47,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,0,0.854,0.137,0.010,0.000,0.000,0.000,0
48,1,0.033,0.867,0.093,0.007,0.000,0.000,0
48,2,0.002,0.068,0.865,0.061,0.002,0.000,0
48,3,0.000,0.003,0.090,0.860,0.047,0.001,0
48,4,0.000,0.000,0.006,0.130,0.823,0.041,0
48,5,0.000,0.000,0.000,0.019,0.142,0.839,0
48,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,0,0.981,0.019,0.000,0.000,0.000,0.000,0
49,1,0.000,0.970,0.030,0.000,0.000,0.000,0
49,2,0.000,0.000,0.970,0.030,0.000,0.000,0
49,3,0.000,0.000,0.000,0.982,0.018,0.000,0
49,4,0.000,0.000,0.000,0.000,0.985,0.015,0
49,5,0.000,0.000,0.000,0.000,0.000,1.000,0
49,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,0,0.465,0.361,0.153,0.015,0.005,0.000,0
50,1,0.042,0.569,0.311,0.069,0.008,0.000,0
50,2,0.001,0.074,0.596,0.276,0.050,0.003,0
50,3,0.000,0.006,0.117,0.659,0.197,0.021,0
50,4,0.000,0.000,0.013,0.178,0.699,0.109,0
50,5,0.000,0.000,0.000,0.012,0.246,0.743,0
50,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,0,0.992,0.008,0.000,0.000,0.000,0.000,0
51,1,0.027,0.936,0.037,0.000,0.000,0.000,0
51,2,0.001,0.054,0.929,0.016,0.000,0.000,0
51,3,0.000,0.003,0.068,0.917,0.012,0.000,0
51,4,0.000,0.000,0.007,0.120,0.859,0.014,0
51,5,0.000,0.000,0.000,0.008,0.167,0.825,0
51,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,0,1.000,0.000,0.000,0.000,0.000,0.000,0
52,1,0.035,0.965,0.000,0.000,0.000,0.000,0
52,2,0.000,0.051,0.949,0.000,0.000,0.000,0
52,3,0.000,0.003,0.070,0.926,0.000,0.000,0
52,4,0.000,0.000,0.002,0.081,0.917,0.000,0
52,5,0.000,0.000,0.000,0.000,0.100,0.900,0
52,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,0,0.385,0.351,0.224,0.034,0.006,0.000,0
53,1,0.031,0.468,0.372,0.113,0.016,0.000,0
53,2,0.002,0.088,0.515,0.315,0.072,0.008,0
53,3,0.001,0.012,0.138,0.587,0.238,0.024,0
53,4,0.000,0.003,0.025,0.233,0.585,0.155,0
53,5,0.000,0.000,0.005,0.037,0.295,0.663,0
53,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,0,1.000,0.000,0.000,0.000,0.000,0.000,0
54,1,0.057,0.943,0.000,0.000,0.000,0.000,0
54,2,0.007,0.109,0.885,0.000,0.000,0.000,0
54,3,0.001,0.011,0.158,0.830,0.000,0.000,0
54,4,0.000,0.000,0.015,0.204,0.781,0.000,0
54,5,0.000,0.000,0.007,0.027,0.217,0.749,0
54,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,0,0.957,0.043,0.000,0.000,0.000,0.000,0
55,1,0.023,0.955,0.023,0.000,0.000,0.000,0
55,2,0.000,0.030,0.948,0.022,0.000,0.000,0
55,3,0.000,0.001,0.042,0.935,0.022,0.000,0
55,4,0.000,0.000,0.001,0.062,0.929,0.008,0
55,5,0.000,0.000,0.000,0.000,0.062,0.938,0
55,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,0,0.773,0.167,0.060,0.000,0.000,0.000,0
56,1,0.057,0.756,0.170,0.018,0.000,0.000,0
56,2,0.004,0.114,0.746,0.127,0.008,0.001,0
